movieId,title
1,Toy Story (1995)
50,"Usual Suspects, The (1995)"
296,Pulp Fiction (1994)
318,"Shawshank Redemption, The (1994)"
356,Forrest Gump (1994)
364,"Lion King, The (1994)"
593,"Silence of the Lambs, The (1991)"
595,Beauty and the Beast (1991)
924,2001: A Space Odyssey (1968)
1035,"Sound of Music, The (1965)"
1222,Full Metal Jacket (1987)
1265,Groundhog Day (1993)
1266,Unforgiven (1992)
1387,Jaws (1975)
1682,"Truman Show, The (1998)"
2324,Life Is Beautiful (1997)
2571,"Matrix, The (1999)"
2572,10 Things I Hate About You (1999)
2716,Ghostbusters (a.k.a. Ghost Busters) (1984)
2959,Fight Club (1999)
3996,"Crouching Tiger, Hidden Dragon (2000)"
4226,Memento (2000)
4270,"Mummy Returns, The (2001)"
4306,Shrek (2001)
4308,Moulin Rouge (2001)
4310,Pearl Harbor (2001)
4459,Alaska: Spirit of the Wild (1997)
4816,Zoolander (2001)
4823,Serendipity (2001)
4973,Amelie (2001)
5266,Panic Room (2002)
5419,Scooby-Doo (2002)
5618,Spirited Away (2001)
5679,"Ring, The (2002)"
5995,"Pianist, The (2002)"
6377,Finding Nemo (2003)
7361,Eternal Sunshine of the Spotless Mind (2004)
8533,"Notebook, The (2004)"
30816,"Phantom of the Opera, The (2004)"
39183,Brokeback Mountain (2005)
46578,Little Miss Sunshine (2006)
54503,Superbad (2007)
54997,3:10 to Yuma (2007)
58559,"Dark Knight, The (2008)"
68954,Up (2009)
69757,(500) Days of Summer (2009)
79132,Inception (2010)
80463,"Social Network, The (2010)"
89745,"Avengers, The (2012)"
99114,Django Unchained (2012)
